Id,Sentence,Entity_1,Entity_2,Relation
1,Rising interest rates affects borrowing costs for individuals and businesses.,Interest Rates,borrowers,affects
3,Market volatility affects traders by leading to potential losses.,Market Volatility,Traders,affects
4,"Strong corporate earnings affect shareholders positively, driving stock prices higher.",Corporate Earnings,Shareholders,affects
5,Regulatory changes affect financial institutions by increasing compliance costs.,Regulatory Changes,Financial Institutions,affects
6,Investor behavior affects market trends and asset prices.,Investor Behavior,Market Trends,affects
7,"Government policies affect taxation, impacting business decisions.",Government Policies,Taxation,affects
8,"High credit ratings affect borrowers positively, reducing borrowing costs.",Credit Ratings,Borrowers,affects
9,"Technology affects trading practices, leading to increased efficiency.",Technology,Trading,affects
10,Environmental regulations affect companies by prompting sustainability initiatives.,Environmental Regulations,Companies,affects
12,Diversification affects portfolios by reducing investment risk.,Diversification,Portfolios,affects
14,Strong corporate governance affects market confidence and stock prices.,Corporate Governance,Market Confidence,affects
15,High inflation affects consumers by eroding purchasing power.,Inflation,Consumers,affects
16,Stock prices affect options traders by determining profits.,Stock Prices ,Options Traders,affects
17,Mergers and Acquisitions activities impact shareholders by reshaping corporate structures.,Mergers and Acquisitions,Shareholders,affects
18," Federal Reserve policy affects bond markets, influencing yields and prices.",Federal Reserve Policy,Bond Markets,affects
19,Cryptocurrency adoption affects traditional banks by changing business models.,Cryptocurrency Adoption,Banks,affects
20,Trade tariffs affect exporters by altering prices and market access.,Trade Tariffs,Exporters,affects
21,Financial literacy affects personal finances by improving decision-making.,Financial Literacy,Personal Finances,affects
22,Hedge funds impact market liquidity through trading strategies.,Hedge Funds,Market Liquidity,affects
23,Housing market conditions affect mortgage lending practices.,Housing Market ,Mortgage Lenders,affects
25,Commodity price fluctuations affect producer revenues.,commodity prices,producer revenues,affects
26,Earnings reports affects analyst recommendations for stocks.,Earnings Reports,Analyst Recommendations,affects
27,Exchange rate fluctuations affects multinational corporations' profits.,Exchange Rates,Multinational Corporations,affects
28,Retirement planning affects long-term savings and financial security.,retirement planning,financial safety,affects
29,Trade agreements affect the structure of global supply chains.,trade agreements,global supply chain,affects
31,Currency pegs stabilize exchange rates.,cuurency pegs,exchange rates,affects
32,Fintech startups challenge traditional banking models.,fintech startups,traditional banking model,affects
33,Tax refunds boost consumer spending.,tax refunds,customer spending,affects
34,Housing market conditions affect mortgage interest rates.,house market conditions,mortage interest rates,affects
35,Exchange rates affect profit margins for import-export businesses.,exchange rates,export-import businesses,affects
36,Financial crises affect retirement savings plans.,financial crises,retirement plans,affects
37,Tax cuts affect corporate revenue streams.,tax cuts,corporate revenues,affects
38,Market exchanges affect high-frequency trading algorithms,market exchanges,high-frequency trading,affects
39,Retirement planning affects long-term wealth accumulation.,retirement planning,long-term wealth,affects
40,Sustainable investing affects the adoption of ESG principles.,sustainable investing,esg practices,affects
41,IPOs affect the valuations of companies going public.,ipo,company valuations,affects
42,trade agreements affect the flow of goods and services globally,trade agreements,global trade flows,affects
43,Consumer confidence levels affect retail sales trends.,consumer confidence,retail sales,affects
44, Derivatives affect strategies for portfolio risk management.,derivatives,portfolio risk management,affects
45,Trade imbalances affect currency values.,trade deficit,currency value,affects
46,Tax incentives affect investment in renewable energy.,tax incentives,investment in renewable energy,affects
47,Sovereign defaults affect bondholder losses.,sovereign defaults,bondholder losses,affects
49,Cyberattacks affect financial institutions' security.,cyber attacks,security,affects
50,FDI affects host country economic growth.,fdi,country economic growth,affects
51,Municipal bonds affect infrastructure project funding.,municipal bonds,infrastructure project funding,affects
52,Fiscal policies affect small business operations.,fiscal policies,small business operations,affects
53,Cryptocurrency price swings affect speculators.,cryptocurrency price,speculators,affects
54,Dividend cuts affect income for investors.,dividend cuts,income of investors,affects
55,Reserves impact currency exchange rates.,central bank reserves,exchange rates,affects
57,Cryptocurrency adoption changes traditional payment methods.,cryptocurrency adoption,payments methods,affects
58,Financial inclusion expands microfinance reach.,financial inclusions,microfinance outreach,affects
59,Healthcare expenses impact retirement savings goals.,healthcare costs,retirement plans,affects
61,Cryptocurrency mining consumes significant energy.,cryptocurrency mining,energy consumption,affects
62,FDI can lead to job creation in host countries.,fdi,job creation,affects
63,Stimulus packages affect equity market performance,economic stimulus packages,equity markets,affects
65,Bond yields impact returns for fixed-income investors.,bond yields,fixed-income investors,affects
66,Online banking adoption affects the viability of physical branches.,online banking,physical branches,affects
67,Rising healthcare costs affect insurance premiums.,healthcare costs,insurance premiums,affects
68,ETFs influence investment strategies.,etfs,investment strategies,affects
69,Real estate investment affects property values.,real estate investments,property values,affects
